gene,type,gene_model_description,all_gene_symbols,log2foldchange,p_value,pwo1_target,ubp5_target
AT1G05805,downregulated,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: cytosol; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT2G43140.2); Has 2662 Blast hits to 2007 proteins in 137 species: Archae - 2; Bacteria - 54; Metazoa - 424; Fungi - 144; Plants - 1472; Viruses - 0; Other Eukaryotes - 566 (source: NCBI BLink).",NA,-0.530619182510256,5.39645689584831e-4,FALSE,FALSE
AT1G05970,downregulated,RNA-binding (RRM/RBD/RNP motifs) family protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,NA,-0.769805677537896,0.00116766005844579,TRUE,TRUE
AT1G06040,downregulated,Encodes salt tolerance protein (STO) which confers salt tolerance to yeast cells. Fully complements calcineurin deficient yeast but does not encode a phosphoprotein phosphatase. Sequence has similarities to CONSTANS. STO co-localizes with COP1 and plays a role in light signaling.,B-BOX DOMAIN PROTEIN 24 (BBX24);SALT TOLERANCE (STO),-0.765012239271718,5.01566526108721e-6,FALSE,FALSE
AT1G06080,downregulated,homologous to delta 9 acyl-lipid desaturases of cyanobacteria and acyl-CoA desaturases of yeast and mammals. expression down-regulated by cold temperature.,DELTA 9 DESATURASE 1 (ADS1),-1.16706903205727,6.43217321894523e-7,FALSE,FALSE
AT1G06190,upregulated,Encodes a  novel ribonucleic acid-binding protein that interacts with the endonuclease RNase E and supports its function in processing plastid ribonucleic acids.,RHO-N 1 (RHON1),0.489928376302018,0.0030052618530667,FALSE,FALSE
AT1G06980,downregulated,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: sepal, male gametophyte, carpel; EXPRESSED DURING: 4 anthesis; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30230.1); Has 159 Blast hits to 159 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 159; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",NA,-0.958143043296412,0.00203108610357433,FALSE,FALSE
AT1G08320,upregulated,"bZIP transcription factor family protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827), bZIP transcription factor, bZIP-1 (InterPro:IPR011616); BEST Arabidopsis thaliana protein match is: bZIP transcription factor family protein (TAIR:AT5G06839.3); Has 1141 Blast hits to 1141 proteins in 123 species: Archae - 0; Bacteria - 0; Metazoa - 138; Fungi - 49; Plants - 915; Viruses - 0; Other Eukaryotes - 39 (source: NCBI BLink).",(bZIP21);TGACG (TGA) MOTIF-BINDING PROTEIN 9 (TGA9),0.834096623332708,5.10297302474467e-4,FALSE,FALSE
AT1G08380,downregulated,Encodes subunit O of photosystem I.,PHOTOSYSTEM I SUBUNIT O (PSAO),-0.746777490957658,1.08893653417333e-7,FALSE,FALSE
AT1G08630,upregulated,"Encodes a threonine aldolase, involved in threonine degradation to glycine. Primarily expressed in seeds and seedlings.",THREONINE ALDOLASE 1 (THA1),1.59813858624784,5.33155601449264e-4,FALSE,FALSE
AT1G08830,upregulated,Encodes a cytosolic copper/zinc superoxide dismutase CSD1 that can detoxify superoxide radicals.  Its expression is affected by miR398-directed mRNA cleavage. Regulated by biotic and abiotic stress. Activation of CSD1 in the cytoplasm involves both a CCS-dependent and -independent pathway.,COPPER/ZINC SUPEROXIDE DISMUTASE 1 (CSD1),0.812926918261091,0.00143641025769085,FALSE,FALSE
AT1G08900,downregulated,"Major facilitator superfamily protein; FUNCTIONS IN: carbohydrate transmembrane transporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: integral to membrane, membrane; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Sugar/inositol transporter (InterPro:IPR003663), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT1G08890.1); Has 23143 Blast hits to 22654 proteins in 1781 species: Archae - 437; Bacteria - 7818; Metazoa - 5011; Fungi - 6239; Plants - 2470; Viruses - 0; Other Eukaryotes - 1168 (source: NCBI BLink).",NA,-0.612903742484118,1.37383757347139e-4,FALSE,FALSE
AT1G09560,upregulated,germin-like protein (GLP5),GERMIN-LIKE PROTEIN 5 (GLP5),1.18845804017919,3.82321039173704e-11,FALSE,FALSE
AT1G09780,upregulated,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent; FUNCTIONS IN: manganese ion binding, phosphoglycerate mutase activity, 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity, catalytic activity, metal ion binding; INVOLVED IN: response to cadmium ion, response to cold; LOCATED IN: mitochondrial envelope, cytosol, chloroplast, plasma membrane; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Alkaline phosphatase-like, alpha/beta/alpha (InterPro:IPR017849), Metalloenzyme (InterPro:IPR006124), BPG-independent PGAM, N-terminal (InterPro:IPR011258), Alkaline-phosphatase-like, core domain (InterPro:IPR017850), Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent (InterPro:IPR005995); BEST Arabidopsis thaliana protein match is: Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent (TAIR:AT3G08590.2); Has 4822 Blast hits to 4813 proteins in 1698 species: Archae - 54; Bacteria - 3035; Metazoa - 34; Fungi - 85; Plants - 379; Viruses - 0; Other Eukaryotes - 1235 (source: NCBI BLink).","2,3-BIPHOSPHOGLYCERATE-INDEPENDENT PHOSPHOGLYCERATE MUTASE 1 (iPGAM1)",0.575866385254621,4.66602151519631e-4,FALSE,FALSE
AT1G10230,downregulated,"SKP1-like 18 (SK18); FUNCTIONS IN: ubiquitin-protein ligase activity, protein binding; INVOLVED IN: ubiquitin-dependent protein catabolic process; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: E3 ubiquitin ligase, SCF complex, Skp subunit (InterPro:IPR016897), SKP1 component, dimerisation (InterPro:IPR016072), SKP1 component (InterPro:IPR001232), BTB/POZ fold (InterPro:IPR011333), SKP1 component, POZ (InterPro:IPR016073); BEST Arabidopsis thaliana protein match is: SKP1-like 15 (TAIR:AT3G25650.1); Has 1421 Blast hits to 1417 proteins in 266 species: Archae - 0; Bacteria - 0; Metazoa - 533; Fungi - 174; Plants - 532; Viruses - 11; Other Eukaryotes - 171 (source: NCBI BLink).",SKP1-LIKE 18 (ASK18);SKP1-LIKE 18 (SK18),-0.751022886803045,0.00176413447426846,TRUE,TRUE
AT1G10360,downregulated,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).,GLUTATHIONE S-TRANSFERASE TAU 18 (ATGSTU18);GLUTATHIONE S-TRANSFERASE TAU 18 (GSTU18);GLUTATHIONE S-TRANSFERASE 29 (GST29),-0.46318533644522,0.0014839502572407,FALSE,FALSE
AT1G10522,upregulated,Encodes PRIN2 (plastid redox insensitive 2). PRIN2 mutants are impaired in PEP (plastid-encoded RNA polymerase) activity and high light-dependent plastid redox signalling to the nucleus.,PLASTID REDOX INSENSITIVE 2 (PRIN2),0.51127059720619,0.00133722949591776,FALSE,TRUE
AT1G10930,upregulated,DNA helicase involved in the maintenance of genome stability by modulation of the DNA damage response and suppression of homologous recombination.,(ATSGS1); (ATRECQ4A); (RECQ4A),0.56955081612923,2.51564495984484e-4,FALSE,TRUE
AT1G10960,upregulated,"ferredoxin 1 (FD1); FUNCTIONS IN: electron carrier activity, iron-sulfur cluster binding, 2 iron, 2 sulfur cluster binding; INVOLVED IN: response to karrikin; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 2Fe-2S ferredoxin, iron-sulphur binding site (InterPro:IPR006058), Ferredoxin (InterPro:IPR001041), Ferredoxin [2Fe-2S], plant (InterPro:IPR010241), Beta-grasp fold, ferredoxin-type (InterPro:IPR012675); BEST Arabidopsis thaliana protein match is: 2Fe-2S ferredoxin-like superfamily protein (TAIR:AT1G60950.1); Has 7651 Blast hits to 7649 proteins in 1369 species: Archae - 135; Bacteria - 5662; Metazoa - 7; Fungi - 14; Plants - 626; Viruses - 5; Other Eukaryotes - 1202 (source: NCBI BLink).",FERREDOXIN 1 (FD1);FERREDOXIN 1 (ATFD1),0.956106379431212,3.32737130409168e-5,FALSE,FALSE
AT1G11790,upregulated,Encodes a plastid-localized arogenate dehydratase involved in phenylalanine biosynthesis.  Not less than six genes encoding ADT were identi&#64257;ed in the Arabidopsis genome: ADT1 [At1g11790]; ADT2 [At3g07630]; ADT3 [At2g27820]; ADT4 [At3g44720]; ADT5 [At5g22630]; and ADT6 [At1g08250].,ARABIDOPSIS THALIANA AROGENATE DEHYDRATASE 1 (AtADT1);AROGENATE DEHYDRATASE 1 (ADT1),0.459439364313523,0.00186515227637869,FALSE,TRUE
AT1G12320,downregulated,Protein of unknown function (DUF1442); CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1442 (InterPro:IPR009902); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1442) (TAIR:AT1G62840.1); Has 98 Blast hits to 98 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 98; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,-0.835670317549087,0.00134080623075902,FALSE,TRUE
AT1G12740,upregulated,encodes a protein with cytochrome P450 domain,"CYTOCHROME P450, FAMILY 87, SUBFAMILY A, POLYPEPTIDE 2 (CYP87A2)",1.82085943238839,1.09146415167984e-10,FALSE,FALSE
AT1G12770,upregulated,Encodes a DEAD-box RNA helicase that  localizes to mitochondria and is essential for regulating cell-to-cell transport via plasmodesmata.,EMBRYO DEFECTIVE 1586 (EMB1586);INCREASED SIZE EXCLUSION LIMIT 1 (ISE1),0.624211491239178,1.29024935571237e-4,FALSE,FALSE
AT1G13110,downregulated,member of CYP71B,"CYTOCHROME P450, FAMILY 71 SUBFAMILY B, POLYPEPTIDE 7 (CYP71B7)",-0.506590355057182,7.57211578419511e-4,FALSE,FALSE
AT1G13245,downregulated,ROTUNDIFOLIA like 17 (RTFL17); CONTAINS InterPro DOMAIN/s: DVL (InterPro:IPR012552); BEST Arabidopsis thaliana protein match is: ROTUNDIFOLIA like 15 (TAIR:AT1G68825.2); Has 124 Blast hits to 124 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 124; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,DEVIL 4 (DVL4);ROTUNDIFOLIA LIKE 17 (RTFL17),-0.690867970143073,6.33198493650028e-4,FALSE,FALSE
AT1G13270,upregulated,"Encodes a methionine aminopeptidase formerly called MAP1B, renamed to MAP1C.",METHIONINE AMINOPEPTIDASE 1B (MAP1C);METHIONINE AMINOPEPTIDASE 1B (MAP1B),0.540639242069403,2.93436388669324e-4,FALSE,FALSE
AT1G13300,upregulated,Overexpression confers hypersensitivity to low phosphate-elicited inhibition of primary root growth.,HYPERSENSITIVITY TO LOW PI-ELICITED PRIMARY ROOT  SHORTENING 1 (HRS1),0.847376262775124,6.20667833617028e-5,FALSE,FALSE
AT1G13609,upregulated,Encodes a defensin-like (DEFL) family protein.,NA,1.95896894134025,1.81501715460273e-4,FALSE,FALSE
AT1G13640,upregulated,"Phosphatidylinositol 3- and 4-kinase family protein; FUNCTIONS IN: inositol or phosphatidylinositol kinase activity, phosphotransferase activity, alcohol group as acceptor; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Phosphatidylinositol 3-/4-kinase, catalytic (InterPro:IPR000403); BEST Arabidopsis thaliana protein match is: phosphoinositide 4-kinase gamma 7 (TAIR:AT2G03890.1); Has 641 Blast hits to 624 proteins in 172 species: Archae - 0; Bacteria - 6; Metazoa - 171; Fungi - 87; Plants - 282; Viruses - 0; Other Eukaryotes - 95 (source: NCBI BLink).",NA,0.650546599952271,2.62852495602997e-5,FALSE,FALSE
AT1G13650,downregulated,BEST Arabidopsis thaliana protein match is: 18S pre-ribosomal assembly protein gar2-related (TAIR:AT2G03810.4); Has 3688 Blast hits to 1629 proteins in 255 species: Archae - 22; Bacteria - 222; Metazoa - 684; Fungi - 292; Plants - 62; Viruses - 14; Other Eukaryotes - 2392 (source: NCBI BLink).,NA,-2.63723554936046,7.12331974997939e-31,FALSE,FALSE
AT1G14250,downregulated,"GDA1/CD39 nucleoside phosphatase family protein; FUNCTIONS IN: hydrolase activity; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Nucleoside phosphatase GDA1/CD39 (InterPro:IPR000407); BEST Arabidopsis thaliana protein match is: GDA1/CD39 nucleoside phosphatase family protein (TAIR:AT1G14240.4); Has 1463 Blast hits to 1456 proteins in 234 species: Archae - 0; Bacteria - 39; Metazoa - 610; Fungi - 315; Plants - 332; Viruses - 0; Other Eukaryotes - 167 (source: NCBI BLink).",NA,-1.64656767193828,3.22398043554996e-14,FALSE,FALSE
AT1G14280,downregulated,"Encodes phytochrome kinase substrate 2.  PKS proteins are critical for hypocotyl phototropism. Forms a complex with Phot1, Phot2 and NPH3.",PHYTOCHROME KINASE SUBSTRATE 2 (PKS2),-0.900790464584628,1.55630186991599e-9,FALSE,FALSE
AT1G14580,downregulated,"C2H2-like zinc finger protein; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding, nucleic acid binding; LOCATED IN: intracellular; EXPRESSED IN: 7 plant structures; EXPRESSED DURING: LP.04 four leaves visible, LP.10 ten leaves visible, LP.02 two leaves visible, 4 leaf senescence stage; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087); BEST Arabidopsis thaliana protein match is: indeterminate(ID)-domain 4 (TAIR:AT2G02080.1); Has 50611 Blast hits to 19416 proteins in 277 species: Archae - 0; Bacteria - 3; Metazoa - 47960; Fungi - 322; Plants - 829; Viruses - 2; Other Eukaryotes - 1495 (source: NCBI BLink).",NA,-0.845441592434044,9.4317859807294e-9,FALSE,FALSE
AT1G14620,upregulated,DECOY (DECOY); CONTAINS InterPro DOMAIN/s: Ribosomal protein L46 (InterPro:IPR021757); Has 274 Blast hits to 274 proteins in 142 species: Archae - 0; Bacteria - 2; Metazoa - 83; Fungi - 120; Plants - 46; Viruses - 0; Other Eukaryotes - 23 (source: NCBI BLink).,DECOY (DECOY),0.499000745691297,0.0016039608291935,FALSE,FALSE
AT1G14700,downregulated,"purple acid phosphatase 3 (PAP3); FUNCTIONS IN: protein serine/threonine phosphatase activity, acid phosphatase activity; LOCATED IN: vacuole; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Metallophosphoesterase (InterPro:IPR004843); BEST Arabidopsis thaliana protein match is: purple acid phosphatase 8 (TAIR:AT2G01890.1); Has 1143 Blast hits to 1133 proteins in 280 species: Archae - 0; Bacteria - 267; Metazoa - 336; Fungi - 8; Plants - 196; Viruses - 0; Other Eukaryotes - 336 (source: NCBI BLink).",(ATPAP3);PURPLE ACID PHOSPHATASE 3 (PAP3),-1.19159553135004,4.31206389337578e-9,FALSE,FALSE
AT1G14810,upregulated,"encodes an aspartate semialdehyde dehydrogenase, which produces the branch point intermediate for lysine and threonine/methionine biosynthesis",NA,0.534379741294377,7.19576040530804e-4,FALSE,FALSE
AT1G14860,upregulated,"nudix hydrolase homolog 18 (NUDT18); FUNCTIONS IN: hydrolase activity; INVOLVED IN: biological_process unknown; CONTAINS InterPro DOMAIN/s: NUDIX hydrolase domain-like (InterPro:IPR015797), NUDIX hydrolase, conserved site (InterPro:IPR020084), NUDIX hydrolase domain (InterPro:IPR000086); BEST Arabidopsis thaliana protein match is: nudix hydrolase homolog 17 (TAIR:AT2G01670.1); Has 1011 Blast hits to 1010 proteins in 304 species: Archae - 0; Bacteria - 339; Metazoa - 213; Fungi - 121; Plants - 237; Viruses - 0; Other Eukaryotes - 101 (source: NCBI BLink).",NUDIX HYDROLASE HOMOLOG 18 (NUDT18);NUDIX HYDROLASE HOMOLOG 18 (atnudt18),0.79884836756527,0.00150038222260035,FALSE,FALSE
AT1G15170,upregulated,"MATE efflux family protein; FUNCTIONS IN: antiporter activity, drug transmembrane transporter activity, transporter activity; INVOLVED IN: drug transmembrane transport, transmembrane transport; LOCATED IN: chloroplast, membrane; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: MATE family transporter related protein (InterPro:IPR015521), Multi antimicrobial extrusion protein MatE (InterPro:IPR002528); BEST Arabidopsis thaliana protein match is: MATE efflux family protein (TAIR:AT1G15180.1); Has 8903 Blast hits to 8835 proteins in 2013 species: Archae - 124; Bacteria - 6072; Metazoa - 149; Fungi - 330; Plants - 1330; Viruses - 0; Other Eukaryotes - 898 (source: NCBI BLink).",NA,0.650934464443563,0.00140690877072163,FALSE,FALSE
AT1G15310,upregulated,54 kDa protein subunit of SRP that interacts with the signal peptide of secreted proteins,SIGNAL RECOGNITION PARTICLE 54 KDA SUBUNIT (SRP54-1);SIGNAL RECOGNITION PARTICLE 54 KDA SUBUNIT (ATHSRP54A),0.731938663753407,4.78200092994668e-4,FALSE,TRUE
AT1G15340,downregulated,Protein containing methyl-CpG-binding domain.Has sequence similarity to human MBD proteins.,METHYL-CPG-BINDING DOMAIN 10 (MBD10),-0.83743885173145,2.61795449980429e-9,TRUE,TRUE
AT1G15420,upregulated,"CONTAINS InterPro DOMAIN/s: Small-subunit processome, Utp12 (InterPro:IPR007148); Has 764 Blast hits to 656 proteins in 193 species: Archae - 0; Bacteria - 42; Metazoa - 237; Fungi - 154; Plants - 85; Viruses - 23; Other Eukaryotes - 223 (source: NCBI BLink).",NA,0.553660303974253,3.62465700095701e-4,FALSE,FALSE
